Crop,Agent,khy1_ratio,khy2_ratio,rby1_ratio,rby2_ratio
Rice2,52649,0,-7.627083282,0,-2.128548181
Rice2,52700,0,-0.862536883,0,-0.650452025
Rice2,52709,0,-2.146832232,0,-1.046230482
Rice2,52714,0,-2.580598025,0,-1.163028802
Rice2,52724,0,-0.906953671,0,-0.573700804
Rice2,52727,0,-0.971322015,0,-0.63677094
Rice2,52800,0,0.091629205,0,-0.053485755
Rice2,52815,0,0.457042655,0,0.161549247
Rice2,62900,0,-1.730678405,0,-2.144265981
Rice2,62907,0,-3.62932792,0,-2.660163345
Rice2,62930,0,-3.421903385,0,-2.296410589
Rice2,62944,0,-2.411912978,0,-2.651657701
Rice2,63000,0,-3.642043519,0,-37.08980627
Rice2,63023,0,-3.647467573,0,-22.70491203
Rice2,63038,0,-3.324520293,0,-4.695232787
Rice2,63044,0,-4.666749837,0,-21.58461746
Rice2,63100,0,-0.506074588,0,-1.187131733
Rice2,63123,0,-1.592247588,0,-5.821085805
Rice2,63144,0,-0.495514741,0,-0.912873763
Rice2,63200,0,0.228337741,0,-0.441005573
Rice2,63244,0,0.25142127,0,-0.934689019
Rice2,63349,0,-5.115338854,0,-1.410882155
Rice2,73300,0,-5.858284603,0,-1.04036343
Rice2,73312,0,-3.085781709,0,-1.096340326
Rice2,73333,0,-4.700052938,0,-1.509593417
Rice2,73400,0,-1.714409552,0,-1.563744205
Rice2,73443,0,-2.521907013,0,-2.424920836
Rice2,73444,0,-4.488431093,0,-4.740511261
Rice2,73447,0,-3.669069664,0,-2.916502475
Rice2,73500,0,-1.918028355,0,-1.056188045
Rice2,73512,0,-2.0753893,0,-1.502817681
Rice2,73533,0,-5.493452069,0,-2.539317196
Rice2,73549,0,-3.512476373,0,-1.58858007
Rice2,83600,0,-1.932553413,0,-3.891702357
Rice2,83700,0,-2.266303808,0,-3.284726728
Rice2,83703,0,-4.485727048,0,-3.784246972
Rice2,83706,0,-3.903404189,0,-4.989192152
Rice2,83716,0,-4.107602781,0,-3.741440223
Rice2,83734,0,-3.335657405,0,-3.230389472
Rice2,83800,0,-2.084553184,0,-2.825546379
Rice2,83811,0,-3.099673208,0,-5.725970527
Rice2,83826,0,-4.724252504,0,-4.719584427
Rice2,83828,0,-2.620993252,0,-1.17557875
Rice2,83841,0,-3.358858167,0,-2.530560042
Rice2,83900,0,-2.665876712,0,-5.213216014
Rice2,83902,0,-3.45701886,0,-4.741604965
Rice2,83903,0,-4.252630562,0,-4.021366196
Rice2,83906,0,-3.270855126,0,-2.818528943
Rice2,83942,0,-3.592021215,0,-3.58897908
Rice2,83946,0,-2.780141188,0,-2.142503941
Rice2,84000,0,-0.407889416,0,-1.171324208
Rice2,84033,0,-3.283171544,0,-4.386906942
Rice2,84046,0,-3.638641706,0,-2.256238726
Rice2,84049,0,-2.930351996,0,-1.698558119
Rice2,84100,0,-3.304142171,0,-8.620183966
Rice2,84123,0,-3.494742035,0,-9.286117972
Rice2,84133,0,-3.053181559,0,-4.501157778
Rice2,84137,0,-3.695857342,0,-6.28200252
Rice2,84146,0,-2.090768955,0,-1.003065733
Rice2,84200,0,-2.307187173,0,-6.097035983
Rice2,84202,0,-3.385437954,0,-5.585639393
Rice2,84205,0,-3.423597576,0,-3.524611664
Rice2,84206,0,-3.803675804,0,-4.492507188
Rice2,84216,0,-3.63368334,0,-2.839976279
Rice2,84239,0,-4.004230909,0,-6.212266079
Rice2,84246,0,-2.636620647,0,-1.902005571
Rice2,84300,0,-2.156920344,0,-6.865986164
Rice2,84302,0,-3.530684347,0,-4.638541014
Rice2,84346,0,-3.250045193,0,-1.934969383
Rice2,84349,0,-3.066990402,0,-1.170428413
Rice2,84400,0,-1.962583852,0,-4.407418815
Rice2,84407,0,-4.579257549,0,-3.525679897
Rice2,84423,0,-3.550050718,0,-26.73110205
Rice2,84430,0,-4.398584863,0,-4.153579882
Rice2,84433,0,-3.464703822,0,-4.293253915
Rice2,84437,0,-3.344031844,0,-4.83382439
Rice2,84444,0,-2.336802709,0,-6.324905618
Rice2,84449,0,-3.134434738,0,-1.840112114
Rice2,84500,0,-2.081472729,0,-5.153805624
Rice2,84505,0,-3.307495799,0,-3.822860662
Rice2,84513,0,-3.683428737,0,-4.877207036
Rice2,84516,0,-3.963774881,0,-5.283620396
Rice2,84539,0,-3.601749284,0,-4.782027749
Rice2,84600,0,-2.03317277,0,-4.363030608
Rice2,84605,0,-3.104483785,0,-2.379283275
