FID_WaterB,NetCDF coordinates,index,lat,long,Lake_name,Downstream,HydroElec,Lake_type,Vol_total (Mm3),Command area,CCA_name,Daily data,Construction year,CCA_code,Shape_Area (m2)
237,,,,,,,0,1,0,,,,0,0,182708
238,,,,,,,0,1,0,,,,0,0,122922
239,,,,,,,0,1,0,,,,0,0,172111
240,,,,,,,0,1,1,,,,0,0,238720
241,,,,,,,0,1,0,,,,0,0,167968
242,,,,,,,0,1,1,,,,0,0,289053
243,,,,,,,0,1,2,,,,0,0,607728
244,,,,,,,0,1,1,,,,0,0,253484
245,,,,,,,0,1,1,,,,0,0,475132
246,,,,,,,0,1,2,,,,0,0,617505
247,,,,,,,0,1,1,,,,0,0,250939
248,,,,,,,0,1,1,,,,0,0,540794
249,,,,,,,0,1,1,,,,0,0,224092
250,,,,,,,0,1,2,,,,0,0,335002
251,,,,,,,0,1,2,,,,0,0,548575
252,,,,,,,0,1,0,,,,0,0,178870
253,,,,,,,0,1,2,,,,0,0,723529
254,,,,,,,0,1,1,,,,0,0,402690
255,,,,,,,0,1,1,,,,0,0,277591
256,,,,,,,0,1,1,,,,0,0,271808
257,,,,,,,0,1,1,,,,0,0,264687
258,,,,,,,0,1,1,,,,0,0,382564
259,,,,,,,0,1,0,,,,0,0,166235
260,,,,,,,0,1,1,,,,0,0,355133
261,"(79, 67)","(79,67)",18.83749962,73.72916412,Bhama Askhed,,0,2,217,Standard,Bhama Askhed,1,2000,4,12257974
262,"-142,267","-142,267",18.3125,75.39583588,Sina Kolegaon,,0,2,89,Standard,Sina Kolegaon,,2007,41,20342511
263,"(86,67)","(86,67)",18.77916718,73.72916412,Jadhavwadi,1,0,2,12,,,,2001,0,1165388
