,0
189,29.085974
190,30.310663
191,30.858715
192,30.547108
193,28.309654
194,27.45627
195,27.906237
196,29.086748
197,30.292097
198,31.19884
199,31.031216
200,31.06063
201,32.80034
202,29.953163
203,26.721188
204,25.994957
205,26.791965
206,25.45865
207,24.346685
208,25.270834
209,25.444891
210,25.389557
211,26.645233
212,27.618622
213,26.35924
214,23.421078
215,25.586191
216,43.36522
217,39.582508
218,35.830845
219,31.563019
220,30.711332
221,29.77054
222,25.657717
223,25.172798
224,22.953875
225,21.920298
226,23.210737
227,23.417353
228,20.489956
229,20.969725
230,22.134232
231,21.934097
232,20.259954
233,21.691168
234,21.137463
235,18.849123
236,20.18207
237,19.52406
238,19.614296
239,20.725756
240,21.27975
241,21.678421
242,21.585989
243,21.695847
244,21.10406
245,18.582254
246,19.136412
247,16.164257
248,14.707439
249,14.673117
250,17.757113
251,19.180878
252,21.202032
253,21.542963
254,22.03419
255,21.099884
256,20.346214
257,20.007391
258,19.486576
259,18.438354
260,19.17648
261,18.178816
262,19.404827
263,15.7852545
264,16.772207
265,16.701662
266,18.297674
267,19.240313
268,19.263714
269,17.948542
270,17.499529
271,17.098434
272,18.056793
273,16.793802
274,16.60127
275,14.451203
276,13.070145
277,16.180443
278,15.915007
279,14.982229
280,15.224851
281,15.9355955
282,15.836758
283,17.627304
284,16.777418
285,15.678861
286,16.855822
287,15.451895
288,15.663783
289,15.358513
290,13.733839
291,15.127174
292,16.187544
293,15.597156
294,15.767276
295,17.383245
296,17.213776
297,15.222231
298,12.0163765
299,11.448066
300,13.97615
301,15.0247755
302,15.409479
303,15.207645
304,14.4921875
305,15.996906
306,15.858294
307,14.854753
308,14.772621
309,14.56481
310,14.463075
311,7.978955
312,12.662878
313,14.193261
314,15.016768
315,14.29432
316,16.050386
317,16.328934
318,16.125572
319,15.403923
320,15.23172
321,14.620157
322,13.543704
323,13.937318
324,14.169207
325,11.19677
326,13.356166
327,12.156868
328,14.133461
329,14.926947
330,14.737549
331,13.803364
332,11.111733
333,9.430435
334,11.047298
335,13.767343
336,14.200289
337,13.367568
338,12.443202
339,11.943624
340,10.7830925
341,8.90113
342,10.822835
343,9.996574
344,11.169507
345,12.013474
346,12.846813
347,12.985607
348,12.633687
349,13.132015
350,13.111418
351,11.244764
352,14.284764
353,12.493078
354,12.684137
355,12.269012
356,13.143903
357,11.506663
358,11.645095
359,11.815017
360,11.237277
361,10.922605
362,10.943995
363,12.262316
364,13.6558075
365,12.315797
366,11.214252
367,11.834119
368,11.9681225
369,11.763591
370,11.16715
371,10.3657675
372,10.310379
373,10.564644
374,28.493769
375,31.536255
376,26.11245
377,22.552008
378,18.173336
379,15.506115
380,13.971688
381,18.859354
382,27.636637
383,35.182693
384,39.32008
385,34.724247
386,29.140789
387,22.918621
388,17.98675
389,14.66814
390,10.126229
391,8.151487
392,8.607826
393,8.868958
394,12.36225
395,18.825853
396,18.44831
397,17.507137
398,15.305775
399,13.645967
400,17.422121
401,26.856726
402,29.475204
403,24.951092
404,22.432894
405,51.563713
406,154.30635
407,93.09655
408,56.356373
409,37.353127
410,27.02328
411,21.332489
412,19.393013
413,20.399197
414,22.372757
415,22.6154
416,20.965433
417,18.336002
418,16.067173
419,14.816481
420,14.700389
421,16.078342
422,16.2635
423,16.053385
424,15.271331
425,14.096263
426,11.345061
427,10.775835
428,10.073005
429,9.302118
430,9.503112
431,9.910834
432,13.336413
433,17.043653
434,27.619059
435,53.653133
436,57.0536
437,46.468372
438,36.727497
439,30.695923
440,26.672245
441,24.696869
442,30.453419
443,68.91951
444,75.733086
445,57.641415
446,41.64214
447,31.371273
448,24.660482
449,20.76506
450,18.227938
451,16.531925
452,15.058253
453,14.218467
454,13.458194
455,12.868059
456,13.079042
457,11.895095
458,12.252612
459,12.580505
460,13.183158
461,12.370379
462,11.268298
463,10.396087
464,10.351328
465,10.664664
466,10.4855585
467,10.733285
468,10.284563
469,9.878875
470,9.624727
471,9.515533
472,9.43048
473,9.916084
474,13.294722
475,20.533371
476,21.638355
477,29.857643
478,36.863586
479,56.953213
480,55.589573
481,42.928173
482,33.141373
483,32.220722
484,63.58621
485,75.51356
486,62.23464
487,46.02043
488,34.521538
489,25.332632
490,19.27073
491,15.837734
492,14.360298
493,15.665334
494,66.236984
495,230.5072
496,180.94879
497,104.0558
498,64.03841
499,43.296364
500,31.62266
501,26.79021
502,26.680021
503,28.401262
504,38.58181
505,40.38201
506,35.03485
507,27.687525
508,22.200838
509,19.023867
510,16.556019
511,15.033858
512,14.206075
513,13.743726
514,13.673087
515,13.355898
516,12.897807
517,12.607876
518,11.471836
519,11.286865
520,11.603681
521,11.5110855
522,10.9273205
523,10.606232
524,10.568002
525,10.938526
526,11.033491
527,11.293376
528,11.654355
529,12.014912
530,11.910145
531,11.945074
532,11.95488
533,12.428708
534,13.291684
535,18.356222
536,53.81582
537,62.417
538,45.14429
539,32.21177
540,25.132557
541,21.064318
542,18.858593
543,17.504997
544,16.59343
545,16.19955
546,15.966881
547,15.747549
548,14.427542
549,14.584162
550,14.356847
551,14.329456
552,14.25815
553,14.295416
554,14.263799
555,14.061011
556,14.381832
557,14.845357
558,14.409379
559,14.508159
560,14.61439
561,14.507305
562,14.351567
563,14.605846
564,14.340413
565,14.1694765
566,14.920695
567,16.054794
568,14.588653
569,13.649252
570,13.97874
571,14.689618
572,15.031834
573,14.242837
574,13.943873
575,13.900876
576,13.993957
577,14.152427
578,14.037685
579,12.960693
580,11.307599
581,12.07507
582,13.118751
583,11.032444
584,11.895243
585,11.764875
586,11.632017
587,11.922966
588,12.284157
589,12.25996
590,12.410911
591,13.07992
592,12.896919
593,12.29686
594,11.648756
595,11.098827
596,10.734892
597,10.511987
598,10.582087
599,11.291563
600,11.908406
601,12.709663
602,13.129175
603,12.956039
604,12.031565
605,13.7160635
606,12.728051
607,11.637029
608,11.202857
609,10.208057
610,6.0944715
611,4.306022
612,5.4523706
613,7.904879
614,9.266705
615,9.195261
616,8.85301
617,9.475411
618,10.363179
619,10.57802
620,10.796608
621,11.390831
622,10.959442
623,12.153269
624,12.135683
625,11.265489
626,10.442133
627,10.08822
628,9.753767
629,10.056136
630,10.560105
631,11.9658
632,11.951535
633,12.504415
634,12.296145
635,12.02219
636,11.534043
637,11.806113
638,11.726902
639,9.58234
640,10.426451
641,10.012979
642,10.496652
643,8.152094
644,9.656762
645,8.634057
646,8.485811
647,7.5869346
648,7.7086344
649,7.5125017
650,7.1737146
651,8.351276
652,8.454036
653,8.075697
654,8.161001
655,7.89737
656,8.745145
657,9.236122
658,11.016537
659,10.753963
660,11.7833805
661,11.486128
662,11.38731
663,10.561742
664,10.654445
665,10.351873
666,10.991465
667,10.434875
668,10.54045
669,10.427762
670,11.518895
671,10.557479
672,8.92655
673,9.141392
674,8.330998
675,7.756229
676,6.821777
677,6.724651
678,7.360033
679,7.4196
680,8.452115
681,10.130067
682,10.180211
683,11.191627
684,11.104998
685,9.423723
686,8.004538
687,7.4876986
688,7.525561
689,8.543823
690,8.558639
691,9.260302
692,9.300619
693,9.356296
694,8.952533
695,9.114977
696,8.026654
697,6.7651515
698,5.993791
699,5.5150743
700,6.7369003
701,5.5311356
702,4.5471206
703,4.1608553
704,4.086993
705,3.8002481
706,3.5281103
707,2.9944634
708,3.180245
709,3.1569111
710,3.125149
711,3.7633934
712,4.1302114
713,4.2820992
714,4.346043
715,3.5392568
716,3.4778488
717,3.8465192
718,4.856531
719,4.130814
720,4.1822658
721,4.025746
722,4.07587
723,3.9942782
724,4.269802
725,4.345323
726,3.7413056
727,3.5357373
728,3.3245013
729,2.9643428
730,2.984726
731,6.649816
732,9.270179
733,6.653868
734,4.3337555
735,2.5203302
736,1.5204569
737,0.86873025
738,0.5647769
739,0.23627084
740,0.20793422
741,0.13443919
742,0.16640872
743,0.21019395
744,26.251139
745,52.458954
746,57.369194
747,52.30484
748,36.88697
749,24.779604
750,17.498755
751,12.762763
752,9.874028
753,7.772005
754,6.5410504
755,6.279447
756,11.961945
757,155.04472
758,213.62729
759,122.93875
760,71.10824
761,43.155636
762,28.839806
763,21.058958
764,16.379501
765,13.709738
766,11.1563
767,9.64467
768,8.564599
769,8.204992
770,7.9094167
771,7.5330157
772,7.155254
773,6.8898907
774,6.2523394
775,6.050099
